,run,precision,recall,f1,accuracy,learning_rate,weight_decay,batch_size,training_loss,evaluation_loss
0,2,0.0,0.0,0.0,0.8137771918259723,2e-05,0.01,4,0,0
0,2,0.0,0.0,0.0,0.8137771918259723,2e-05,0.01,4,0,0
0,2,1.0,0.008912655971479501,0.017667844522968195,0.8160767449553423,2e-05,0.01,4,0,0
0,2,0.8103975535168195,0.4934823091247672,0.6134259259259258,0.8813499111900532,2e-05,0.01,4,0,0
0,2,0.743859649122807,0.8217054263565892,0.7808471454880295,0.9132653061224489,2e-05,0.01,4,0,0
0,2,0.7713787085514834,0.8717948717948718,0.8185185185185185,0.927888153053716,2e-05,0.01,4,0,0
0,2,0.7910714285714285,0.8824701195219123,0.8342749529190208,0.9348630643967432,2e-05,0.01,4,0,0
0,2,0.7668918918918919,0.9025844930417495,0.8292237442922373,0.9310980103168754,2e-05,0.01,4,0,0
0,2,0.8102189781021898,0.888,0.8473282442748092,0.9405867062755291,2e-05,0.01,4,0,0
0,2,0.8314176245210728,0.868,0.8493150684931506,0.9426870115370302,2e-05,0.01,4,0,0
0,2,0.8320754716981132,0.8802395209580839,0.8554801163918526,0.9445684523809523,2e-05,0.01,4,0,0
0,2,0.8348968105065666,0.8846918489065606,0.8590733590733591,0.9456643096390026,2e-05,0.01,4,0,0
0,2,0.8445297504798465,0.8782435129740519,0.8610567514677104,0.9470741707044353,2e-05,0.01,4,0,0
0,2,0.8419047619047619,0.8822355289421158,0.861598440545809,0.9469951474430758,2e-05,0.01,4,0,0
0,2,0.8451242829827916,0.8822355289421158,0.86328125,0.9477611940298507,2e-05,0.01,4,0,0
0,2,0.8527131782945736,0.8782435129740519,0.8652900688298919,0.9488615154908548,2e-05,0.01,4,0,0
0,2,0.8497109826589595,0.8802395209580839,0.8647058823529413,0.9485074626865672,2e-05,0.01,4,0,0
0,2,0.8512720156555773,0.8682634730538922,0.8596837944664032,0.9470149253731344,2e-05,0.01,4,0,0
0,2,0.8365019011406845,0.88,0.8576998050682263,0.9455427079447967,2e-05,0.01,4,0,0
0,2,0.8377862595419847,0.878,0.8574218749999999,0.9455223880597015,2e-05,0.01,4,0,0
0,2,0.8473581213307241,0.866,0.8565776458951533,0.9458348898020171,2e-05,0.01,4,0,0
0,2,0.8439306358381503,0.876,0.8596663395485771,0.9466218738335199,2e-05,0.01,4,0,0
0,2,0.8365019011406845,0.88,0.8576998050682263,0.9455630126771066,2e-05,0.01,4,0,0
0,2,0.8380952380952381,0.88,0.8585365853658538,0.9459157030958597,2e-05,0.01,4,0,0
0,2,0.8380952380952381,0.88,0.8585365853658538,0.9459157030958597,2e-05,0.01,4,0,0
0,2,0.8273235144743525,0.8810167658193618,0.8533263488737559,0.9457942115961668,2e-05,0.01,4,0,0
