Run;Epoch;precision;recall;f1;accuracy;learning_rate;weight_decay;batch_size;training_loss;evaluation_loss
1;14;0.7646048109965635;0.869140625;0.8135283363802559;0.9254930606281958;2E-05;0.1;8;0.121300;0.177452
1;15;0.75787728026534;0.8943248532289628;0.8204667863554758;0.9267935578330894;2E-05;0.1;8;0.108600;0.173433
1;16;0.7715736040609137;0.8941176470588236;0.8283378746594006;0.9307184750733137;2E-05;0.1;8;0.098500;0.170212
1;17;0.7756849315068494;0.888235294117647;0.8281535648994516;0.9310344827586207;2E-05;0.1;8;0.098200;0.170722
1;18;0.7724957555178268;0.8939096267190569;0.8287795992714025;0.9310091743119266;2E-05;0.1;8;0.090100;0.169579
1;19;0.7816291161178509;0.8895463510848126;0.8321033210332103;0.9330882352941177;2E-05;0.1;8;0.091000;0.168764
1;20;0.7848324514991182;0.8777120315581854;0.8286778398510244;0.9323031640912436;2E-05;0.1;8;0.099900;0.169011
1;21;0.7835951134380453;0.8873517786561265;0.8322520852641335;0.9333578792341679;2E-05;0.1;8;0.091200;0.169617
1;22;0.7841105354058722;0.8954635108481263;0.8360957642725598;0.9344865660655134;2E-05;0.1;8;0.081700;0.169378
1;23;0.7843478260869565;0.8913043478260869;0.8344125809435707;0.9340942562592047;2E-05;0.1;8;0.084600;0.169220
1;24;0.784965034965035;0.8873517786561265;0.8330241187384044;0.9337504600662495;2E-05;0.1;8;0.080600;0.169020
1;0;0.7712069801260301;0.9042341574310884;0.8324395029431001;0.9357347112827974;2E-05;0.1;8;0;0
2;1;0.000000;0.000000;0.000000;0.813118;2E-05;0.1;16;0.549400;0.491987
2;2;0.000000;0.000000;0.000000;0.813777;2E-05;0.1;16;0.456500;0.466139
2;3;0.000000;0.000000;0.000000;0.813777;2E-05;0.1;16;0.478800;0.451902
2;4;0.000000;0.000000;0.000000;0.813777;2E-05;0.1;16;0.436100;0.425557
2;5;0.000000;0.000000;0.000000;0.813777;2E-05;0.1;16;0.407500;0.409159
2;6;0.000000;0.000000;0.000000;0.813777;2E-05;0.1;16;0.389500;0.390838
2;7;0.000000;0.000000;0.000000;0.813777;2E-05;0.1;16;0.364000;0.376473
2;8;0.000000;0.000000;0.000000;0.813777;2E-05;0.1;16;0.341400;0.355185
2;9;0.666667;0.003540;0.007042;0.813923;2E-05;0.1;16;0.340900;0.333856
2;10;0.971429;0.060823;0.114478;0.824725;2E-05;0.1;16;0.317800;0.316465
2;11;0.959596;0.170863;0.290076;0.842373;2E-05;0.1;16;0.306200;0.299721
2;12;0.898204;0.274725;0.420757;0.857143;2E-05;0.1;16;0.275800;0.284042
2;13;0.848000;0.396262;0.540127;0.873155;2E-05;0.1;16;0.259900;0.268722
2;14;0.804094;0.515947;0.628571;0.884588;2E-05;0.1;16;0.240400;0.253411
2;15;0.793612;0.611742;0.690909;0.896304;2E-05;0.1;16;0.230900;0.238302
2;16;0.786813;0.684512;0.732106;0.905449;2E-05;0.1;16;0.216400;0.223986
2;17;0.770624;0.736538;0.753196;0.909157;2E-05;0.1;16;0.209500;0.212281
2;18;0.757299;0.804264;0.780075;0.914971;2E-05;0.1;16;0.192400;0.204347
2;19;0.740995;0.837209;0.786169;0.914483;2E-05;0.1;16;0.175700;0.199253
2;20;0.741554;0.849130;0.791704;0.915939;2E-05;0.1;16;0.175200;0.194788
2;21;0.744538;0.858527;0.797480;0.917973;2E-05;0.1;16;0.184200;0.191429
2;22;0.745791;0.860194;0.798918;0.918643;2E-05;0.1;16;0.172700;0.189186
2;23;0.747069;0.867704;0.802880;0.920015;2E-05;0.1;16;0.149700;0.187956
2;24;0.747913;0.871595;0.805031;0.920745;2E-05;0.1;16;0.156400;0.187465
2;0;0.7057104316546763;0.8949416342412452;0.7880005020710431;0.9152661415742738;2E-05;0.1;16;0;0
3;1;0.200000;0.003546;0.006969;0.812067;2E-05;0.01;16;0.578800;0.507984
3;2;0.000000;0.000000;0.000000;0.813777;2E-05;0.01;16;0.464100;0.461948
3;3;0.000000;0.000000;0.000000;0.813777;2E-05;0.01;16;0.480500;0.448009
3;4;0.000000;0.000000;0.000000;0.813777;2E-05;0.01;16;0.432400;0.421000
3;5;0.000000;0.000000;0.000000;0.813777;2E-05;0.01;16;0.398900;0.400554
3;6;0.000000;0.000000;0.000000;0.813777;2E-05;0.01;16;0.378400;0.384744
3;7;0.000000;0.000000;0.000000;0.813716;2E-05;0.01;16;0.358400;0.359692
3;8;0.000000;0.000000;0.000000;0.813716;2E-05;0.01;16;0.331700;0.339975
3;9;0.000000;0.000000;0.000000;0.813716;2E-05;0.01;16;0.338100;0.324465
3;10;0.875000;0.012478;0.024605;0.816286;2E-05;0.01;16;0.311700;0.310122
3;11;0.900000;0.080501;0.147783;0.825839;2E-05;0.01;16;0.299200;0.294019
3;12;0.803030;0.193431;0.311765;0.839231;2E-05;0.01;16;0.268700;0.278584
3;13;0.813953;0.325279;0.464807;0.859042;2E-05;0.01;16;0.249700;0.263102
3;14;0.782468;0.456439;0.576555;0.874156;2E-05;0.01;16;0.240600;0.248556
3;15;0.773171;0.608445;0.680988;0.892857;2E-05;0.01;16;0.226700;0.235839
3;16;0.761317;0.712909;0.736318;0.904194;2E-05;0.01;16;0.212200;0.223176
3;17;0.746269;0.769231;0.757576;0.907414;2E-05;0.01;16;0.205600;0.212929
3;18;0.721122;0.846899;0.778966;0.910210;2E-05;0.01;16;0.185800;0.207142
3;19;0.713386;0.879612;0.787826;0.911658;2E-05;0.01;16;0.176600;0.201854
3;20;0.720447;0.875728;0.790535;0.913343;2E-05;0.01;16;0.167400;0.197383
3;21;0.716981;0.887160;0.793043;0.913706;2E-05;0.01;16;0.182500;0.195295
3;22;0.716745;0.891051;0.794449;0.914068;2E-05;0.01;16;0.170500;0.194732
3;23;0.708589;0.897087;0.791774;0.912020;2E-05;0.01;16;0.152000;0.194593
3;24;0.706605;0.894942;0.789700;0.911296;2E-05;0.01;16;0.153100;0.194152
3;0;0.7057104316546763;0.8920147769252629;0.7880005020710431;0.9152661415742738;2E-05;0.01;16;0;0
