,precision,recall,f1-score,support,batch_size,model
6,0.2222222222222222,0.3902439024390244,0.2831858407079646,41.0,8,roberta
weighted avg,0.6917436799811922,0.6478646253021757,0.6569642759645709,1241.0,8,roberta
0,0.8043818466353677,0.7871362940275651,0.7956656346749226,653.0,8,roberta
1,0.6437659033078881,0.6856368563685636,0.6640419947506562,369.0,8,roberta
2,0.5625,0.23684210526315788,0.3333333333333333,38.0,8,roberta
3,0.5053763440860215,0.5164835164835165,0.5108695652173914,91.0,8,roberta
4,0.7777777777777778,0.3333333333333333,0.4666666666666666,21.0,8,roberta
5,0.375,0.21428571428571427,0.2727272727272727,28.0,8,roberta
6,0.22666666666666666,0.4146341463414634,0.2931034482758621,41.0,8,roberta
weighted avg,0.6980675891635783,0.6873489121676067,0.68751857987336,1241.0,8,roberta
0,0.8055555555555556,0.7993874425727412,0.8024596464258263,653.0,8,roberta
1,0.6285714285714286,0.7154471544715447,0.6692015209125476,369.0,8,roberta
2,0.5294117647058824,0.23684210526315788,0.3272727272727273,38.0,8,roberta
3,0.5903614457831325,0.5384615384615384,0.5632183908045977,91.0,8,roberta
4,0.5,0.19047619047619047,0.27586206896551724,21.0,8,roberta
5,0.3076923076923077,0.14285714285714285,0.1951219512195122,28.0,8,roberta
6,0.21153846153846154,0.2682926829268293,0.23655913978494625,41.0,8,roberta
weighted avg,0.692666909818038,0.6954069298952458,0.6894328689331037,1241.0,8,roberta
0,0.8120063191153238,0.7871362940275651,0.7993779160186626,653.0,8,roberta
1,0.6209302325581395,0.7235772357723578,0.6683354192740927,369.0,8,roberta
2,0.5,0.2631578947368421,0.3448275862068966,38.0,8,roberta
3,0.5444444444444444,0.5384615384615384,0.5414364640883977,91.0,8,roberta
4,0.5714285714285714,0.19047619047619047,0.2857142857142857,21.0,8,roberta
5,0.38461538461538464,0.17857142857142858,0.24390243902439027,28.0,8,roberta
6,0.25,0.2926829268292683,0.2696629213483146,41.0,8,roberta
weighted avg,0.6937365490813338,0.693795326349718,0.6888550873877495,1241.0,8,roberta
0,0.772877618522602,0.8032849503437739,0.787787975276269,2618.0,8,roberta
1,0.5707178393745558,0.6028528528528528,0.5863453815261044,1332.0,8,roberta
2,1.0,0.0189873417721519,0.03726708074534161,158.0,8,roberta
3,0.373015873015873,0.4351851851851852,0.4017094017094017,324.0,8,roberta
4,0.6,0.19230769230769232,0.29126213592233013,78.0,8,roberta
5,0.33125,0.5,0.39849624060150374,106.0,8,roberta
